TYMP,TERT,FGFR1,TRIM33,TP53BP1,KLF4,AKR1B1,JUN,EPAS1,CTNNB1,PKM,CEBPB,ZEB1,SOD1,NKX3-1,GSR,HESX1,DDIT3,ETV5,HEY2,HEY1,PSAT1,CEBPD,DEC1,classes
0,0,1,1,1,1,1,0,0,1,0.9996108681582626,0.0,0.0,0.9997085074506051,0.7048327646991335,0.0,0.0,0.0,0.9665245832868518,0.0,0.0,0.9981600635844131,0.0,0.0,0
0,0,1,1,1,1,0,0,1,1,0.9968793398368513,0.0,0.0,0.9997723919394915,0.9988318916368278,0.0,0.0,0.0,0.0,0.0,0.0,0.9996863942261713,0.0,0.0,0
0,1,1,1,0,1,1,0,1,1,0.9959708147337499,0.0,0.0,0.9971831167358665,0.909665529398267,0.9602629513889184,0.0,0.7048327646991335,0.0,0.9470706478808203,0.0,0.0,0.7048327646991335,0.0,0
0,0,0,1,0,1,1,0,0,1,0.9734895107734577,0.5,0.0,0.9710826421944466,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,1,1,1,1,0,0,1,1,0.994605046333243,0.0,0.0,0.9950265092126607,0.0,0.7048327646991335,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0
0,0,1,1,1,1,1,0,1,1,0.9987733738255212,0.5,0.0,0.9986367905795659,0.9208331516788689,0.936548965138893,0.0,0.9208331516788689,0.5,0.8440417392452615,0.0,0.0,0.0,0.0,0
0,0,1,1,0,1,0,0,0,1,0.9956985805094338,0.0,0.0,0.9892108674324538,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0
0,0,1,1,0,1,0,0,0,1,0.9892108674324538,0.0,0.0,0.9895645450473826,0.5,0.7951672353008666,0.0,0.0,0.0,0.0,0.0,0.0,0.9470706478808203,0.0,0
0,1,0,1,0,1,0,0,1,1,0.9958661634755189,0.9764322622593172,0.0,0.9979263272937159,0.0,0.9625948815174468,0.0,0.0,0.0,0.0,0.0,0.975526687091491,0.0,0.0,0
0,0,0,1,1,1,1,0,0,1,0.9994935404629564,0.0,0.0,0.9996461257883275,0.0,0.9877588209421515,0.0,0.981281285356708,0.0,0.9861626192581294,0.0,0.9989942823968971,0.9772732390123643,0.0,0
0,0,0,1,1,1,1,0,1,1,0.9985365088484599,0.0,0.0,0.997804768106481,0.0,0.9787871951889292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,1,1,0,1,0,0,0,1,0.9989529289501384,0.0,0.0,0.9991612392569097,0.5,0.909665529398267,0.0,0.9948243435248334,0.9844757663633736,0.0,0.0,0.9981862733620119,0.9827982477891337,0.0,0
0,0,1,1,0,1,0,0,1,1,0.9990892427209537,0.0,0.0,0.99946094867043,0.0,0.9973251427475356,0.9681954974876473,0.9972440874649279,0.9832507137913893,0.0,0.0,0.9988446114820263,0.9938788446753493,0.0,0
0,1,1,1,1,1,1,0,1,1,0.999474736280606,0.0,0.0,0.9995841804821461,0.0,0.9945120344597916,0.0,0.0,0.0,0.0,0.0,0.9966843020000569,0.936548965138893,0.0,0
0,1,1,1,1,1,1,0,1,1,0.9997852884491639,0.7951672353008666,0.0,0.9998406857459765,0.0,0.997891995213052,0.0,0.9961879511164052,0.0,0.9892108674324538,0.0,0.9980411761128539,0.9948660808729916,0.0,0
0,0,1,1,0,1,0,0,1,1,0.999572164195883,0.0,0.5,0.999736170851255,0.9904989178192587,0.9957274482268388,0.9903549838917163,0.9903549838917163,0.0,0.0,0.0,0.9939371378509365,0.9920426672725511,0.0,0
0,1,1,1,1,1,1,0,0,1,0.9994143334013152,0.7951672353008666,0.0,0.999286301002619,0.0,0.9932989867291053,0.0,0.9734895107734577,0.5,0.9546042580002793,0.9697076556232638,0.9946503799351295,0.9832507137913893,0.0,0
0,1,1,1,0,1,1,0,0,1,0.999035425325441,0.0,0.0,0.9992878976433378,0.0,0.9818158106487032,0.0,0.0,0.0,0.0,0.0,0.9931548899066752,0.9882120923303974,0.0,0
0,1,1,1,0,1,0,0,0,1,0.9988010941247468,0.0,0.0,0.9986454918899476,0.0,0.9697076556232638,0.0,0.9827982477891337,0.8743340836219977,0.0,0.0,0.0,0.909665529398267,0.0,0
0,1,1,1,0,1,1,0,0,1,0.9990498219408323,0.0,0.0,0.9990368845889837,0.5,0.9745487773040165,0.0,0.9832507137913893,0.9546042580002793,0.0,0.9422841232473911,0.9902066222601985,0.9470706478808203,0.0,0
0,0,0,1,1,1,1,0,1,1,0.9996800905935772,0.0,0.0,0.9994654747080047,0.0,0.9890248844484466,0.0,0.9851975571792263,0.9546042580002793,0.0,0.0,0.9879897312593258,0.9470706478808203,0.0,0
0,0,0,1,1,1,0,0,1,1,0.9948243435248334,0.0,0.0,0.9956985805094338,0.0,0.909665529398267,0.0,0.0,0.0,0.7951672353008666,0.0,0.7048327646991335,0.9470706478808203,0.0,0
0,1,0,1,0,1,1,0,1,1,0.9964632598727627,0.9422841232473911,0.0,0.995284384229317,0.7048327646991335,0.5,0.0,0.0,0.9710826421944466,0.0,0.0,0.9546042580002793,0.9681954974876473,0.0,0
0,0,1,1,0,1,0,0,1,1,0.9916239074103248,0.0,0.0,0.9772732390123643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9208331516788689,0.8948630865774932,0.0,0
0,1,1,1,0,1,1,0,1,1,0.9992179122210044,0.0,0.0,0.9993764744673843,0.0,0.9745487773040165,0.9208331516788689,0.9723383008666762,0.987009563023251,0.0,0.9646685542237308,0.9697076556232638,0.9546042580002793,0.0,0
