0,1,2
0,409,393
80,47,389
32,140,404
53,169,372
5,366,274
55,376,382
8,125,304
9,415,390
20,10,321
37,197,359
13,225,137
16,88,222
19,87,164
18,226,126
21,235,248
42,90,402
25,375,109
26,179,361
33,101,401
31,28,420
35,76,132
36,370,397
40,367,379
44,124,357
74,259,239
51,181,365
61,418,419
62,156,230
63,158,216
64,214,363
68,196,134
67,145,406
79,336,319
199,213,262
204,152,114
203,244,374
