TR:Toy:CellLine,TR:SRPRA,TR:PLCG1,TR:MYCBP,TR:SMAD4,TR:SMAD3,TR:CREM,TR:E2F1,TR:EGR1i,TR:FHL2i,TR:PITX2i,DA:PKM,DA:CEBPB,DA:ZEB1,DA:SOD1,DA:NKX3-1,DA:GSR,DA:HESX1,DA:DDIT3,DA:ETV5,DA:HEY2,DA:HEY1,DA:PSAT1,DA:CEBPD,DA:DEC1,DV:PKM,DV:CEBPB,DV:ZEB1,DV:SOD1,DV:NKX3-1,DV:GSR,DV:HESX1,DV:DDIT3,DV:ETV5,DV:HEY2,DV:HEY1,DV:PSAT1,DV:CEBPD,DV:DEC1
1,1,1,1,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,1,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,1,0,1,0,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9998873438744078,0.7048327646991335,0.0,0.9998624119813151,0.9950265092126607,0.5,0.0,0.0,0.0,0.0,0.0,0.9994577345669486,0.0,0.0
1,1,1,1,1,0,1,0,1,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9996407338009112,0.0,0.0,0.9993319836949488,0.0,0.0,0.0,0.7951672353008666,0.0,0.0,0.0,0.998986275104622,0.5,0.0
1,1,1,1,1,1,1,1,0,1,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9998157928950808,0.0,0.0,0.9997726358052499,0.9787871951889292,0.5,0.0,0.9890248844484466,0.0,0.0,0.0,0.9996455346845325,0.9208331516788689,0.0
1,1,1,1,1,1,1,1,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9998123172895271,0.0,0.0,0.9998475892362451,0.0,0.9576213907301072,0.0,0.8440417392452615,0.0,0.0,0.0,0.9984434755408105,0.0,0.0
1,1,1,1,1,0,1,0,1,1,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9994127125537133,0.0,0.0,0.9987164941334731,0.0,0.9807143934563513,0.0,0.0,0.0,0.0,0.0,0.9987566035881533,0.7048327646991335,0.0
1,1,1,1,1,0,1,1,0,1,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9993396062821414,0.0,0.0,0.9991764302493821,0.0,0.9867390064001997,0.0,0.5,0.0,0.9898957727866763,0.0,0.9986130310127904,0.0,0.0
1,1,1,1,1,0,1,1,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9992648735688118,0.0,0.0,0.9987190766332698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9930804923643742,0.0,0.0
1,1,0,1,1,1,1,1,0,1,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9995863419865022,0.0,0.0,0.9993284604048075,0.5,0.9877588209421515,0.0,0.0,0.0,0.0,0.0,0.9665245832868518,0.8743340836219977,0.0
1,1,1,1,1,0,0,0,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9999228713630661,0.0,0.0,0.9998421864751296,0.0,0.9867390064001997,0.0,0.0,0.0,0.0,0.0,0.9997614763047665,0.0,0.0
1,1,0,1,1,0,1,1,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.999474736280606,0.0,0.0,0.9995386814051175,0.0,0.9576213907301072,0.0,0.0,0.0,0.0,0.0,0.9994116269952804,0.9511254960556053,0.0
1,1,0,1,1,1,1,1,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9980939584726495,0.0,0.0,0.9958117724489208,0.7951672353008666,0.936548965138893,0.0,0.8948630865774932,0.0,0.0,0.0,0.9848452496488564,0.0,0.0
1,1,0,1,1,1,1,1,1,1,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9996792847765688,0.0,0.0,0.9996339162149533,0.0,0.9794709970445046,0.9807143934563513,0.0,0.0,0.0,0.0,0.9995452716685007,0.0,0.0
1,1,0,1,1,0,1,0,0,1,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9998761440147208,0.0,0.0,0.9995988533786322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993227704703609,0.0,0.0
